Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Tortoise,0.54849,0.2937961,0.22230501,0.547986,0.28803486,0.42443106,0.54101497,0.2579716,0.31400594,0.52255213,0.31122217,0.27768007,0.5052308,0.2821764,0.25850585,0.47323176,0.4217311,0.47758406,0.42686886,0.35382015,0.46965215,0.65449435,0.5894353,0.7252378,0.65012693,0.58957726,0.32678154,0.66396993,0.8115592,0.2502162,0.5942336,0.7618168,0.286884,0.5637877,0.76996183,0.763103,0.5382419,0.73726815,0.551564,0.49230722,0.42135215,0.6903626,0.48256126,0.41448504,0.3412829,0.5988165,0.19954942,0.3884856,0.57485586,0.20696689,0.23711269
Tortoise,0.29140496,0.82919645,0.5448892,0.26026618,0.83282584,0.6226861,0.26118052,0.83254915,0.6560104,0.22977431,0.76161546,0.4108034,0.23233649,0.75986946,0.6870042,0.34034562,0.64009756,0.6879839,0.36658058,0.636842,0.7494674,0.56922555,0.47467515,0.2904346,0.6008331,0.50009716,0.18112242,0.69505954,0.4528701,0.07358,0.6935953,0.12075979,0.50122374,0.68144435,0.20235914,0.36083236,0.7166024,0.1882312,0.5533927,0.38497636,0.49253637,0.49604562,0.39047953,0.49658054,0.73354757,0.7162082,0.756332,0.49091613,0.7415571,0.7449251,0.5574746
Tortoise,0.64402825,0.4827755,0.34440482,0.64906883,0.49739102,0.38116068,0.6522468,0.46450353,0.46133056,0.6488877,0.51706,0.5376726,0.64295,0.4422505,0.31284565,0.6137422,0.55802494,0.6511494,0.61533135,0.40238696,0.22068618,0.5799232,0.63305086,0.16606434,0.6304795,0.36792517,0.14216796,0.6801391,0.7102688,0.1019885,0.6463782,0.36315584,0.19328463,0.5353594,0.5238026,0.37793335,0.5370587,0.43457946,0.42297506,0.58321583,0.6181225,0.3955482,0.5829214,0.3435432,0.5892111,0.66814387,0.722103,0.43793404,0.67442644,0.25540218,0.5388525
Tortoise,0.366216,0.45677543,0.55097604,0.34541905,0.43473306,0.6029289,0.35060284,0.44706076,0.52954096,0.36817968,0.4144219,0.41698137,0.37140077,0.4574531,0.5224279,0.4793615,0.38731432,0.49427664,0.38772523,0.5540748,0.637958,0.59675586,0.30825675,0.1289468,0.6202667,0.37476853,0.35135996,0.47612873,0.80967987,0.39034227,0.7359,0.35272714,0.8791035,0.67907006,0.6478256,0.44900858,0.6963552,0.564671,0.6782812,0.43164214,0.6447368,0.40633813,0.4130362,0.6370624,0.25043198,0.40675062,0.56203145,0.10992645,0.18319477,0.7235573,0.46663448
Tortoise,0.5926009,0.7177449,0.2538625,0.57297224,0.7341735,0.21512325,0.5809095,0.7286795,0.26783046,0.52013755,0.70295537,0.23460099,0.53543013,0.6887651,0.33060843,0.49817565,0.57285106,0.39889607,0.54691833,0.5460351,0.22362964,0.5414587,0.50130695,0.06065241,0.6121755,0.4744077,0.43382984,0.6442586,0.34292805,0.4526152,0.6520322,0.3481884,0.6180349,0.53102976,0.20975137,0.56183934,0.5474302,0.20056304,0.6221756,0.4972761,0.4918971,0.22954123,0.5589693,0.49629018,0.5302864,0.6046804,0.7678449,0.36801517,0.62170243,0.7619694,0.45008662
Tortoise,0.5483486,0.77818555,0.30241165,0.5460328,0.78553504,0.5287175,0.54633164,0.78427976,0.41363636,0.5524849,0.7919361,0.3925383,0.54792225,0.7958453,0.31300443,0.5738704,0.770549,0.35492596,0.54679126,0.79245365,0.16565675,0.51525676,0.88505846,0.23367895,0.5157758,0.699517,0.2456447,0.57603556,0.9632721,0.2136858,0.50341946,0.67023164,0.17533389,0.50590086,0.71630925,0.13818794,0.47060284,0.76826894,0.07818388,0.528585,0.6953009,0.14807999,0.45210856,0.79512954,0.32578197,0.5071508,0.67035055,0.24839978,0.55880576,0.5988562,0.41588235
Tortoise,0.27349743,0.86873686,0.46537822,0.23544219,0.8701215,0.4100794,0.23481826,0.86635834,0.5592704,0.19973333,0.79142314,0.27560177,0.19879091,0.7824313,0.542272,0.3351941,0.640285,0.50644517,0.35373995,0.64182377,0.5758107,0.5548483,0.6722333,0.39997473,0.59497535,0.669654,0.11953917,0.6818484,0.8137008,0.27375495,0.745818,0.79446435,0.1698406,0.68383586,0.13116212,0.44836864,0.7027231,0.13926592,0.42545462,0.37609267,0.4883275,0.40195766,0.3792578,0.48960948,0.68596464,0.84994394,0.2060116,0.7223355,0.7648929,0.7845328,0.52019894
Tortoise,0.6677512,0.52690554,0.77934706,0.6406554,0.5504928,0.6420104,0.64103985,0.5060411,0.79885024,0.594572,0.57933855,0.6628294,0.59913343,0.46597913,0.6530457,0.54943,0.61826986,0.6957784,0.5638336,0.41097757,0.531457,0.48331875,0.7068503,0.3324509,0.48959413,0.2971499,0.28794426,0.647605,0.927121,0.18932897,0.43943644,0.18050154,0.47598812,0.32271707,0.56760216,0.7988655,0.32502285,0.44184214,0.8641,0.4806103,0.7058965,0.8520925,0.488226,0.30870557,0.7865474,0.64769155,0.93039656,0.78998935,0.6620698,0.09435814,0.84344333
Tortoise,0.6538739,0.6261234,0.5683034,0.6528077,0.6453786,0.5263211,0.65510607,0.6469816,0.62676203,0.6022533,0.6759833,0.6486895,0.6036597,0.666582,0.67795426,0.5302541,0.6346778,0.5628281,0.54362315,0.5452486,0.19669583,0.44060948,0.56885904,0.07945444,0.47336146,0.449395,0.12576717,0.4711222,0.77442366,0.4627943,0.4517813,0.3293559,0.4397723,0.6052891,0.298375,0.473116,0.6113898,0.27633607,0.57009554,0.45229352,0.5607651,0.38717106,0.47343662,0.500945,0.31842273,0.4597284,0.3301118,0.19527963,0.4621686,0.32631832,0.20672196
Tortoise,0.5045474,0.5033722,0.43693763,0.4943455,0.519207,0.51949686,0.5016278,0.48662078,0.40893906,0.4583313,0.54270196,0.73004436,0.46418288,0.46435457,0.49544466,0.42871988,0.5814167,0.72888005,0.43011665,0.41026616,0.58990204,0.39385915,0.69519377,0.17080042,0.38785917,0.3324664,0.40103963,0.48257488,0.88478976,0.37917545,0.38482723,0.24317655,0.5402444,0.27803767,0.55227107,0.55573905,0.2839492,0.46102983,0.6215717,0.39341226,0.68790084,0.7159138,0.40187845,0.31733876,0.5205349,0.48707882,0.886894,0.724558,0.47822633,0.1492359,0.57645506
