Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Tree,0.22237974,0.44964662,0.5724368,0.21045041,0.46465266,0.6880748,0.20857438,0.44445127,0.86233795,0.21877527,0.4953268,0.643137,0.21888033,0.45158607,0.61770004,0.26744744,0.52276534,0.8773835,0.2680945,0.43579543,0.75108963,0.155101,0.51472247,0.6367994,0.16736321,0.4141668,0.82901376,0.06964239,0.47904286,0.78746504,0.073208034,0.44555992,0.7559287,0.4767165,0.51272285,0.82447153,0.4690115,0.44583938,0.8261925,0.66316307,0.5073974,0.73971826,0.5553837,0.31094885,0.6878453,0.79938215,0.49030668,0.45945045,0.5563908,0.4647659,0.6625299
Tree,0.34755057,0.5119857,0.36012143,0.34558576,0.51277965,0.44105396,0.34482485,0.5097595,0.5167038,0.35615164,0.5093003,0.43570167,0.3528176,0.50792235,0.46286324,0.3893821,0.5334442,0.5843896,0.37919447,0.50686806,0.33395883,0.32563427,0.5428895,0.37959686,0.32090124,0.5270058,0.21778631,0.27638036,0.5176221,0.26094055,0.27423194,0.51659673,0.33776084,0.60394293,0.5251764,0.6252984,0.6013615,0.48709702,0.6217172,0.7081831,0.5234506,0.5508355,0.6420144,0.36136088,0.5723731,0.69072086,0.5081468,0.22265972,0.6623547,0.47852963,0.32761586
Tree,0.28278583,0.4938794,0.6804539,0.26959968,0.50859445,0.7696389,0.26811567,0.47858554,0.76437044,0.27790278,0.5229835,0.7498861,0.27572736,0.46170717,0.8646199,0.33856648,0.54045,0.7516198,0.34250677,0.42803806,0.8770108,0.23760223,0.57815343,0.70605284,0.22201191,0.41274217,0.7679042,0.14308429,0.599322,0.85170233,0.12292717,0.4090498,0.7511247,0.53242755,0.52471864,0.88964194,0.5471084,0.442355,0.863953,0.64615357,0.6529485,0.8912434,0.7299045,0.45668173,0.81234956,0.62912786,0.50839376,0.7373315,0.8899416,0.4708668,0.8590923
Tree,0.2533066,0.42559347,0.6963301,0.24243204,0.44179308,0.7755211,0.24115838,0.4105344,0.7591752,0.25760219,0.46444544,0.82720613,0.25820976,0.394513,0.7947673,0.32987222,0.496012,0.7954191,0.34116936,0.36271375,0.88177854,0.4005374,0.57152295,0.6480551,0.43088555,0.3059086,0.77821064,0.39461613,0.48930275,0.70515984,0.3982939,0.41642037,0.56412566,0.5192174,0.46941125,0.9173009,0.51137155,0.39110273,0.9152365,0.713912,0.4419303,0.74776036,0.59660226,0.23599043,0.89347434,0.87769496,0.42520934,0.8833774,0.5967931,0.41666454,0.33292925
Tree,0.43607217,0.44302934,0.30933136,0.4261236,0.43239585,0.29077303,0.42853847,0.44424316,0.4205343,0.43686074,0.41676617,0.408591,0.43511185,0.44585282,0.457599,0.48382735,0.40120134,0.45605552,0.4788969,0.46195185,0.5158986,0.51924014,0.33818007,0.41131487,0.527271,0.521127,0.50274646,0.49536934,0.29279187,0.24719496,0.5151387,0.5738165,0.36063346,0.6012753,0.40919465,0.57556033,0.6045154,0.445919,0.5416408,0.7124237,0.42313817,0.29432267,0.64854413,0.5317879,0.32239303,0.7386481,0.42508325,0.19724908,0.67867243,0.44975817,0.30910254
Tree,0.2732066,0.2959944,0.57696086,0.2647917,0.30745488,0.51160145,0.26211527,0.28496987,0.4194379,0.28077897,0.31795314,0.5848977,0.27510118,0.27013952,0.50486356,0.32704538,0.3388388,0.7530407,0.32822135,0.26015252,0.75022316,0.23273844,0.3691143,0.8757325,0.23337378,0.22982875,0.8532212,0.15014994,0.3152021,0.47996816,0.1513076,0.28637335,0.655336,0.5047575,0.34702417,0.79283756,0.5127038,0.27587292,0.77071744,0.57145643,0.4436935,0.76266944,0.66504,0.2864204,0.7729146,0.5416806,0.31340185,0.36033377,0.797867,0.29491168,0.6660777
Tree,0.31084904,0.47730523,0.5632395,0.30608377,0.49074277,0.6905281,0.3039178,0.46920243,0.55612075,0.32235658,0.5139722,0.69236726,0.32379633,0.46234888,0.7078015,0.35880026,0.535889,0.8273696,0.36920857,0.44009897,0.6357148,0.27235156,0.54833925,0.49096766,0.29720545,0.42911264,0.68015057,0.19045037,0.54609257,0.7059252,0.21886694,0.43126628,0.66975975,0.53143585,0.5271465,0.8397437,0.5431455,0.45389548,0.8273312,0.62572294,0.6023195,0.83485365,0.69173056,0.49146196,0.74825364,0.6769143,0.5203956,0.5916339,0.72763926,0.5028646,0.28098282
Tree,0.14579228,0.53432596,0.74719155,0.13119242,0.54976815,0.84405327,0.12975399,0.51417124,0.81091076,0.1481255,0.5667214,0.8487713,0.15131985,0.49109507,0.8759064,0.2387481,0.60206634,0.78361773,0.24179496,0.45601377,0.95198756,0.34812334,0.66991526,0.90327424,0.36427462,0.39129063,0.8417567,0.34503263,0.55147797,0.71571124,0.34581923,0.49868205,0.7009943,0.48860005,0.55595493,0.91439414,0.48468465,0.45814455,0.9034647,0.6984181,0.5408836,0.8064483,0.59194535,0.29660058,0.91202927,0.8929506,0.5204721,0.8551659,0.61083984,0.49308568,0.76383185
Tree,0.27490413,0.5397154,0.6818892,0.259977,0.55459195,0.7893659,0.26238984,0.5244988,0.6908124,0.26876643,0.5723941,0.7370863,0.2748637,0.5080802,0.80049837,0.32551214,0.5903353,0.7751719,0.31848332,0.49367288,0.8137069,0.22153832,0.6057626,0.8538889,0.22389188,0.46394747,0.93003434,0.12464018,0.55843025,0.61909103,0.12573704,0.5205218,0.65890175,0.52411234,0.56042963,0.79803187,0.508494,0.49283773,0.84573644,0.6767299,0.5307588,0.5869982,0.6090628,0.3852205,0.64063245,0.81426316,0.5190879,0.49665713,0.604579,0.5249817,0.6521893
Tree,0.37274823,0.65010285,0.5414143,0.3644931,0.6608092,0.5412936,0.36369503,0.64031124,0.4080347,0.3739707,0.67533255,0.44388208,0.37292945,0.6279207,0.49095973,0.40597868,0.68513906,0.6712998,0.4123844,0.61296725,0.7312962,0.33333,0.6880191,0.72829294,0.3276792,0.62138927,0.572512,0.2701139,0.6670564,0.6078134,0.27021453,0.6443541,0.57472736,0.54479563,0.6709972,0.70671237,0.53858757,0.6167412,0.72929764,0.6318995,0.6515595,0.52112824,0.5711881,0.6045246,0.19737491,0.73849434,0.64196837,0.69378805,0.6219114,0.64229316,0.2868612
