Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Upward_Bow,0.6664836,0.6296135,0.5621157,0.6663942,0.62842834,0.6157297,0.66426164,0.6292143,0.48475742,0.654632,0.60886455,0.5374448,0.6529688,0.60679907,0.4408014,0.6115014,0.5901147,0.639848,0.60757023,0.59279203,0.49115527,0.67673385,0.6683221,0.70069295,0.67965394,0.65118736,0.72849154,0.7678008,0.6990998,0.61087716,0.7610874,0.6794926,0.44951987,0.53700274,0.4851331,0.45675993,0.5395577,0.47304505,0.39139485,0.64000016,0.60573304,0.17791358,0.617803,0.3312134,0.71694887,0.7569432,0.588073,0.08413804,0.75612885,0.33722052,0.6949212
Upward_Bow,0.5084897,0.65933,0.4694346,0.50770664,0.65562576,0.4986335,0.5095378,0.6524533,0.55734277,0.48025772,0.65026766,0.6866188,0.48161405,0.64295536,0.5666198,0.426915,0.66591537,0.80217063,0.42731148,0.661443,0.68819916,0.5559178,0.6744938,0.7735989,0.5595383,0.6729226,0.79687744,0.66354287,0.6673514,0.71039176,0.6507042,0.66530395,0.7217561,0.31155196,0.4687246,0.8303811,0.31316015,0.47239348,0.7324153,0.45765507,0.30682966,0.93863624,0.46219704,0.33818462,0.7498067,0.65321004,0.34015045,0.77257556,0.6330298,0.3615461,0.74973273
Upward_Bow,0.73077554,0.30698842,0.64589155,0.7443556,0.317914,0.5738886,0.7439948,0.31796739,0.5860797,0.7243135,0.35366446,0.79559326,0.72418344,0.35188115,0.78898156,0.65282047,0.3729836,0.73629,0.66492474,0.36935586,0.48533964,0.7587183,0.30573893,0.69323355,0.76979375,0.30623478,0.68542707,0.8665558,0.2946758,0.6956084,0.8891134,0.28427976,0.77154684,0.56323373,0.5655605,0.8147478,0.56238824,0.5674669,0.7856022,0.6950474,0.7346309,0.91237473,0.69240254,0.74854815,0.6599777,0.8634379,0.68736833,0.7594815,0.8734867,0.71687824,0.5188677
Upward_Bow,0.54998815,0.75860894,0.7019368,0.55440086,0.74261737,0.8035528,0.55376345,0.7417328,0.80735874,0.5076028,0.6985559,0.72690344,0.5111471,0.6971348,0.69691783,0.42340112,0.7097661,0.8689687,0.4191472,0.7035813,0.68025935,0.57361543,0.8250665,0.75613135,0.57047343,0.78729624,0.7112672,0.740197,0.8702021,0.7728431,0.7240031,0.8100136,0.74984455,0.2827789,0.431961,0.8633888,0.28246412,0.4348359,0.6307827,0.4408521,0.2054921,0.89490664,0.43438688,0.19983606,0.81923294,0.7170706,0.24505591,0.80192554,0.69785696,0.23809463,0.8326261
Upward_Bow,0.54363924,0.48606068,0.4133644,0.54339033,0.49734992,0.44559503,0.5347867,0.4828573,0.37880716,0.5280153,0.51274854,0.38485005,0.5103855,0.48060995,0.3201703,0.50987077,0.5044232,0.6599714,0.4367657,0.4472487,0.33688954,0.5518318,0.5187733,0.51177615,0.33956593,0.39157984,0.33447805,0.61130756,0.5213194,0.5193193,0.23760235,0.3801584,0.44164008,0.46753287,0.47775918,0.18577616,0.42229646,0.40961108,0.17351663,0.5058898,0.3161596,0.5373715,0.498138,0.3137777,0.25020716,0.60528064,0.33451602,0.2726539,0.6093054,0.33090374,0.24863501
Upward_Bow,0.5705053,0.24523097,0.48312926,0.59003,0.2497314,0.5302531,0.5911494,0.2663429,0.5015614,0.57602996,0.2820071,0.56988,0.5755158,0.32034713,0.7138701,0.4797294,0.26014093,0.77923805,0.5008485,0.3705745,0.5038369,0.62226325,0.2106555,0.86282694,0.6464859,0.3442813,0.74424624,0.75614226,0.17743838,0.78312796,0.788538,0.34306368,0.6065168,0.4134714,0.48717573,0.5384986,0.4082786,0.55306506,0.61180204,0.5691313,0.621045,0.85120064,0.5687307,0.66037124,0.7071705,0.6991658,0.69961655,0.5995033,0.7102799,0.7234232,0.7812889
Upward_Bow,0.6370833,0.79599404,0.6937428,0.65002376,0.78552943,0.7157636,0.64691985,0.785637,0.70258677,0.6456631,0.75054735,0.6973733,0.6405269,0.7548002,0.6631395,0.5777524,0.7343775,0.7438597,0.56935143,0.72563744,0.75102556,0.70587575,0.788889,0.801948,0.6912796,0.7546426,0.62857294,0.8372918,0.80627984,0.8239285,0.80322504,0.7830279,0.40030897,0.51701313,0.49770346,0.8157361,0.48993146,0.49636862,0.8529432,0.6658658,0.34983158,0.56706125,0.32686368,0.4155318,0.6646064,0.8452087,0.36083335,0.6780811,0.12916592,0.3594075,0.6290223
Upward_Bow,0.4077578,0.51918817,0.40468866,0.4045146,0.52966005,0.4038529,0.40477282,0.5077413,0.5291884,0.39648002,0.5371805,0.23645048,0.38969487,0.48901373,0.37880096,0.38200065,0.56604,0.44208312,0.36762428,0.45752499,0.4229453,0.4670679,0.6180441,0.54645634,0.43699956,0.3709792,0.24139786,0.5577715,0.64360857,0.341019,0.5327728,0.3670982,0.328949,0.38829046,0.572338,0.3688304,0.36120942,0.48953772,0.32285348,0.46683198,0.603438,0.34398618,0.4309089,0.36840814,0.7745881,0.57078654,0.63098097,0.65932876,0.5342198,0.36783734,0.7717697
Upward_Bow,0.56683594,0.72777635,0.69940305,0.56380486,0.7171245,0.66216224,0.5665553,0.7134903,0.7466396,0.54009646,0.6874742,0.61749524,0.5448098,0.68906146,0.63970345,0.4715614,0.6932063,0.7634349,0.48069444,0.66969323,0.5238923,0.5952117,0.76689345,0.7979348,0.59839314,0.71907437,0.54052395,0.71661425,0.7761682,0.72921574,0.7034162,0.7304205,0.63281685,0.3721253,0.4873535,0.80378693,0.37715322,0.48610008,0.75656855,0.49671245,0.33262664,0.87207264,0.5018263,0.3375663,0.7075409,0.69267696,0.32519844,0.75416017,0.686915,0.3301477,0.8108586
Upward_Bow,0.46378082,0.22101128,0.64532363,0.47852817,0.24303342,0.7051301,0.47752503,0.23965402,0.74887395,0.44020432,0.28119287,0.7527233,0.44132152,0.2819533,0.6789505,0.35845283,0.29087356,0.68766284,0.35285443,0.284744,0.58003426,0.51040184,0.24341747,0.7526533,0.50735974,0.2290436,0.8724268,0.65471125,0.2517898,0.84694463,0.6748948,0.2349537,0.61773413,0.29070833,0.53833014,0.78959334,0.28235266,0.5454949,0.8089295,0.43098187,0.7216077,0.89424646,0.4203573,0.7790315,0.88459396,0.6449869,0.64934593,0.83835447,0.66048145,0.7221062,0.71311474
