Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Upward_Facing_Two-Foot_Staff,0.6320357,0.23459047,0.5630662,0.6484074,0.24947663,0.5215156,0.64982045,0.24755971,0.5820593,0.62495136,0.2898027,0.80773896,0.62338406,0.29082838,0.8355848,0.538724,0.3013157,0.7259007,0.5417762,0.2899186,0.49300647,0.6479707,0.25280163,0.32185155,0.71445376,0.20627101,0.8982118,0.6550835,0.34842464,0.64714754,0.6856406,0.34783345,0.6841365,0.39714262,0.50336194,0.8230823,0.40332127,0.4928777,0.68515027,0.5256463,0.7056164,0.7002431,0.5335116,0.70597875,0.78849983,0.6645565,0.8543648,0.8079702,0.6823758,0.86558,0.8515451
Upward_Facing_Two-Foot_Staff,0.6578495,0.9060446,0.5574334,0.65313965,0.8868385,0.5504901,0.651379,0.8856152,0.5025736,0.59076184,0.8790519,0.79705244,0.59197605,0.8773629,0.7991484,0.531094,0.9255224,0.8595421,0.5319478,0.917902,0.8223886,0.7341865,0.9457113,0.8235768,0.67582035,0.8973339,0.33022812,0.7319538,0.78611743,0.574466,0.7191121,0.80118245,0.52139914,0.3357617,0.6602638,0.8925502,0.32585838,0.6501905,0.6876222,0.5107809,0.37556908,0.83721125,0.5088653,0.3822139,0.73227614,0.68345773,0.12910223,0.71739006,0.67825276,0.13694386,0.6052759
Upward_Facing_Two-Foot_Staff,0.68394345,0.7564407,0.5567088,0.68428457,0.74414706,0.48591444,0.6817877,0.74539405,0.4651952,0.664509,0.7012022,0.5583966,0.6610215,0.7054954,0.5928931,0.6009032,0.7015775,0.63603044,0.59976846,0.7048828,0.5821871,0.7231754,0.7937576,0.66340744,0.70125157,0.78098935,0.566893,0.72195524,0.6643357,0.67110175,0.7133002,0.6727105,0.70276594,0.48631933,0.52549475,0.5714085,0.48199275,0.52589834,0.66798145,0.58769256,0.34144196,0.846013,0.5780504,0.33990166,0.7767936,0.7081285,0.17837271,0.7710311,0.70510143,0.17727558,0.80752426
Upward_Facing_Two-Foot_Staff,0.6691865,0.5019112,0.32984376,0.66580343,0.49776408,0.34164184,0.66345894,0.5011312,0.36577314,0.65508085,0.49827707,0.41405356,0.6468396,0.5011101,0.44280732,0.64697224,0.4928491,0.38290605,0.63938856,0.5209811,0.19584563,0.6932045,0.48176455,0.2841914,0.68513304,0.4976595,0.26580095,0.69475174,0.47607827,0.33757693,0.6881222,0.49217963,0.2513113,0.6191066,0.5346992,0.15748228,0.6205905,0.54689157,0.15498221,0.6886457,0.4927295,0.2510836,0.6545564,0.6398288,0.3725474,0.70779634,0.48578486,0.16464932,0.693762,0.6955279,0.38810104
Upward_Facing_Two-Foot_Staff,0.61748004,0.14556336,0.33564922,0.6416548,0.1556019,0.5324881,0.6417979,0.16011976,0.5056564,0.6254193,0.20033349,0.52571726,0.62081635,0.20460811,0.5306878,0.5347581,0.21887155,0.7043281,0.54264003,0.21793391,0.65020114,0.62633157,0.18477294,0.20230517,0.6306573,0.18578118,0.16258897,0.66517544,0.24275284,0.28989413,0.6584623,0.26000458,0.27987492,0.3652043,0.41021484,0.7599281,0.36700174,0.39519155,0.7185143,0.4454482,0.682922,0.45469147,0.443597,0.6878377,0.5995369,0.6041955,0.86405504,0.3468693,0.6430963,0.904969,0.41749188
Upward_Facing_Two-Foot_Staff,0.6884176,0.1543178,0.5701476,0.6896693,0.1718061,0.5925079,0.6932655,0.1736731,0.6004415,0.64134586,0.19188751,0.65932846,0.6424,0.19085096,0.7619225,0.5671696,0.16968378,0.69241065,0.569295,0.16115195,0.7735824,0.71948594,0.13020419,0.5812208,0.7479566,0.11912527,0.8903512,0.7264502,0.26466262,0.4945359,0.7477636,0.2562484,0.5832386,0.37445122,0.367331,0.8849232,0.3782007,0.35870922,0.73820263,0.52733994,0.5874274,0.82720417,0.5301833,0.59352744,0.7748884,0.7093053,0.755893,0.66410655,0.7315651,0.82024455,0.8117054
Upward_Facing_Two-Foot_Staff,0.6473838,0.05368198,0.3764724,0.6572169,0.07442465,0.4158484,0.65954036,0.07569932,0.4159924,0.60582876,0.11179012,0.66141015,0.605762,0.10910792,0.6828849,0.48779145,0.09185633,0.74126756,0.48728037,0.08859068,0.73639303,0.69199616,0.044117272,0.5949486,0.709534,0.041374624,0.7179607,0.69131756,0.21285267,0.57235706,0.70373213,0.21743566,0.78197986,0.31278977,0.34273028,0.54381746,0.3100165,0.34444338,0.6928042,0.49761108,0.63298666,0.861421,0.49554056,0.63347924,0.865749,0.68084264,0.8456353,0.8497036,0.6812889,0.8509334,0.80840117
Upward_Facing_Two-Foot_Staff,0.6144554,0.042702384,0.5486634,0.6357574,0.06292026,0.6511288,0.6384432,0.06444873,0.59732914,0.61915946,0.12266763,0.74938464,0.6175805,0.12868537,0.6928302,0.49936387,0.13455115,0.8024809,0.50528497,0.13655415,0.7323303,0.68078166,0.050294437,0.71098787,0.70618904,0.051575292,0.853862,0.68171877,0.1915483,0.4388772,0.69119775,0.19438681,0.44225907,0.3509177,0.37834382,0.7835984,0.35760188,0.3791789,0.82985175,0.49532628,0.6243653,0.89151114,0.4986054,0.62209105,0.87652886,0.66337585,0.83904094,0.80063474,0.6735321,0.8494234,0.7778479
Upward_Facing_Two-Foot_Staff,0.6859267,0.21993615,0.27284944,0.69309384,0.21743107,0.38315076,0.69115436,0.22450215,0.34221265,0.6907634,0.23695965,0.22673644,0.68528265,0.23709871,0.25281918,0.580137,0.22089903,0.39633778,0.6405926,0.2412451,0.21303186,0.6968252,0.26134965,0.122099146,0.69789183,0.26522917,0.122473106,0.7195528,0.25216225,0.13657975,0.720368,0.2603036,0.17138352,0.5600995,0.32938823,0.18986596,0.5518034,0.2778098,0.22027944,0.6346756,0.4364282,0.24035938,0.62855214,0.43799707,0.2065494,0.6979848,0.4995442,0.26076123,0.7027518,0.51915663,0.28946707
Upward_Facing_Two-Foot_Staff,0.6574144,0.07453397,0.37818345,0.66313565,0.09194134,0.5886663,0.6632057,0.09255276,0.62297046,0.61175066,0.12543795,0.7193799,0.60949486,0.123319104,0.690257,0.50086683,0.1120446,0.7013111,0.5110844,0.10555532,0.51192343,0.6811028,0.08267446,0.60900676,0.7047278,0.070835784,0.7294029,0.69209576,0.22687906,0.6199976,0.70920515,0.23212297,0.83341116,0.33327097,0.3548327,0.895931,0.33521822,0.3500015,0.7911309,0.50306976,0.62161654,0.8702559,0.5074674,0.62910646,0.87078893,0.68329847,0.8276857,0.8330532,0.6824421,0.8378207,0.8463472
