Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Upward_Plank,0.47206035,0.3041428,0.6335601,0.47648653,0.29157016,0.7132437,0.47930822,0.29342148,0.70913815,0.50619626,0.2916534,0.57718134,0.5085675,0.29403707,0.66850084,0.51795244,0.34521198,0.7061037,0.5170167,0.35478118,0.6419807,0.63889694,0.3718664,0.6162522,0.64026356,0.3710578,0.73360854,0.71818805,0.36352453,0.6083613,0.7178199,0.36832386,0.31391302,0.5318861,0.5092962,0.7323937,0.54291654,0.5175085,0.71600676,0.6309228,0.6689589,0.7070789,0.6335346,0.670888,0.7828551,0.71025217,0.8143019,0.72863936,0.71272475,0.80317336,0.69994533
Upward_Plank,0.2877295,0.18538311,0.78069097,0.2744218,0.16989397,0.6805116,0.2797602,0.1611192,0.6244067,0.2967941,0.14115696,0.7354303,0.31299406,0.12431174,0.6574746,0.3656175,0.19077533,0.77005225,0.37706158,0.14599025,0.6745759,0.5351755,0.16661444,0.6606948,0.5374399,0.14581993,0.8176687,0.68562895,0.12884487,0.6474045,0.6934257,0.122896045,0.6032622,0.40304253,0.45771685,0.88250554,0.42212096,0.4461029,0.7397016,0.5324408,0.6580507,0.8131652,0.5423033,0.65749663,0.7508881,0.6845332,0.8406587,0.6301912,0.6909461,0.85736316,0.75791866
Upward_Plank,0.26956546,0.1694658,0.7242899,0.26576492,0.14521176,0.73975104,0.2698249,0.14353843,0.8053547,0.3167725,0.13634197,0.726223,0.32165733,0.13293618,0.6837335,0.38798055,0.20844299,0.88685757,0.39715198,0.20862806,0.7358726,0.57617366,0.22853908,0.6546939,0.58300424,0.23650451,0.87041324,0.7235145,0.22192284,0.7004674,0.7591165,0.23740335,0.9028276,0.43802822,0.5098131,0.73542964,0.45259205,0.5202592,0.68037134,0.5502798,0.71172476,0.76268876,0.5504941,0.7156695,0.8226581,0.6829226,0.88435656,0.77193725,0.68862605,0.89168364,0.7912937
Upward_Plank,0.41190806,0.8406881,0.68624264,0.4251301,0.86100113,0.7088655,0.4233661,0.86184037,0.68573457,0.47346738,0.8527404,0.86240685,0.4684623,0.85492355,0.79155433,0.51254886,0.783653,0.8385072,0.50360775,0.75903094,0.7431762,0.6598395,0.7570852,0.68464386,0.65480626,0.733057,0.792372,0.7714957,0.7643516,0.8337122,0.7570026,0.73960674,0.6983947,0.52461183,0.53571177,0.8608145,0.5191926,0.53009343,0.84340817,0.6192391,0.33163792,0.81052583,0.61049265,0.3306409,0.7994212,0.74961305,0.15282045,0.6614687,0.74325037,0.15590459,0.79248214
Upward_Plank,0.35784727,0.014308263,0.6269536,0.37944838,0.017337063,0.64138365,0.3797758,0.016018573,0.6130446,0.3975313,0.0802241,0.7907354,0.39979684,0.07713847,0.683375,0.33924216,0.18795347,0.664593,0.35161763,0.17179166,0.778225,0.5261831,0.23261662,0.6298834,0.5619806,0.2179631,0.86020637,0.6536934,0.2501301,0.51423895,0.7170935,0.21051411,0.73581254,0.42490703,0.49188706,0.8037709,0.44912052,0.49307135,0.6161769,0.50415677,0.6790688,0.72703713,0.5248907,0.6974313,0.7999884,0.6114221,0.8587668,0.6464837,0.64397764,0.89038855,0.81677854
Upward_Plank,0.33332202,0.8595699,0.45669806,0.34755012,0.8701021,0.59635544,0.35016805,0.8732454,0.54792434,0.38096392,0.83919805,0.56374115,0.38724962,0.84394413,0.51872724,0.36954325,0.77479166,0.5255581,0.3847614,0.7520971,0.5441189,0.5269166,0.7887829,0.747751,0.53762037,0.74205744,0.56186444,0.64948225,0.8255758,0.75855654,0.649767,0.818257,0.45073158,0.4791588,0.5102871,0.5913885,0.48279738,0.4939606,0.64362246,0.4790078,0.36914366,0.17160428,0.5077231,0.33624715,0.21535468,0.6821454,0.3968251,0.3488834,0.6811175,0.402903,0.8606771
Upward_Plank,0.46729475,0.85233337,0.6528475,0.480589,0.85188305,0.59017646,0.48141488,0.8501759,0.5684921,0.4990697,0.8105098,0.65657574,0.49952316,0.8114443,0.5995712,0.48472264,0.75963074,0.78028244,0.47362483,0.7500063,0.557527,0.61410475,0.73418796,0.69646597,0.6108244,0.7280139,0.64372605,0.7032351,0.72777504,0.65647644,0.691055,0.7205454,0.61687005,0.5084582,0.5235025,0.70617265,0.50601286,0.5227002,0.6640527,0.6031475,0.3864452,0.81630194,0.602006,0.39408943,0.6807911,0.6879763,0.24441387,0.6953556,0.676999,0.25118908,0.71462464
Upward_Plank,0.34642074,0.29441658,0.52231854,0.3456737,0.29438975,0.5796097,0.3477947,0.28181416,0.56818044,0.3606739,0.30747864,0.574395,0.36610776,0.27906248,0.47231704,0.3767147,0.37084183,0.6452938,0.39712808,0.27359068,0.7782906,0.51838756,0.40545925,0.5024921,0.5357214,0.2819935,0.82146144,0.6260665,0.39208758,0.8281568,0.6477448,0.26716015,0.7688309,0.46470374,0.4959995,0.6067224,0.47737652,0.48288226,0.4623554,0.5995809,0.55527693,0.51135206,0.5979081,0.61785495,0.41550145,0.74632317,0.66879773,0.42824563,0.74512833,0.73045605,0.6653514
Upward_Plank,0.27472278,0.8683703,0.81546956,0.298794,0.88250124,0.76053464,0.2925407,0.8823484,0.81887925,0.3361522,0.84906876,0.8306921,0.32349232,0.85419405,0.7200166,0.34042594,0.77775204,0.8999897,0.30724645,0.75338453,0.83725107,0.48544103,0.78402835,0.7660607,0.4150832,0.74814385,0.3804127,0.62092006,0.77783173,0.8458278,0.5016581,0.73771465,0.5774264,0.41135392,0.53725976,0.81714803,0.3748616,0.5178417,0.7940072,0.4832998,0.35466474,0.875905,0.45733503,0.34839445,0.78755283,0.55623436,0.18267106,0.8343967,0.53457785,0.19180325,0.6222118
Upward_Plank,0.35991126,0.029443363,0.6481153,0.37749243,0.032922633,0.5844039,0.3763741,0.030324224,0.576513,0.39158782,0.07864005,0.59248686,0.38997552,0.074177265,0.78134775,0.3546247,0.18005441,0.816678,0.35310957,0.15299353,0.74738103,0.5283441,0.19304454,0.72838384,0.5323994,0.1440285,0.71604335,0.65468425,0.1821622,0.78955007,0.674288,0.13844745,0.7815014,0.41349888,0.45664474,0.8349908,0.42135462,0.45552865,0.8942985,0.5334075,0.6785754,0.6502084,0.53981274,0.6789682,0.8598655,0.66316867,0.87958723,0.78805274,0.66573465,0.8772916,0.7209015
