Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Warrior_I,0.36150476,0.6758533,0.6300663,0.35005808,0.66343415,0.7332263,0.3508125,0.6657552,0.7682971,0.35805085,0.63916606,0.61974657,0.36207315,0.6398957,0.64339316,0.41789797,0.65041083,0.7201389,0.41614074,0.62964094,0.8197339,0.30986595,0.63393676,0.54029256,0.3071167,0.62915266,0.50188166,0.24340631,0.6118151,0.6647872,0.24186353,0.60878444,0.762524,0.6078531,0.6545697,0.75638765,0.6143615,0.62620515,0.7178534,0.6111766,0.7882284,0.9055485,0.69616646,0.53836375,0.76710474,0.744249,0.74312973,0.7063971,0.7226162,0.40928498,0.7849242
Warrior_I,0.5680473,0.28050014,0.21802147,0.56665325,0.28144646,0.23083809,0.5628344,0.28279713,0.1828398,0.57612824,0.28360948,0.21230912,0.5645008,0.28073195,0.18165065,0.6111786,0.2954774,0.25714275,0.5908053,0.2881766,0.27589503,0.5838908,0.29264903,0.2023363,0.549835,0.27736512,0.18888532,0.5598802,0.2569248,0.13530064,0.45230818,0.28941846,0.59440935,0.72056097,0.28875458,0.23306318,0.7153994,0.28211683,0.27268237,0.7466383,0.24508053,0.24624991,0.7452969,0.24990176,0.3207374,0.7716007,0.20849621,0.10258027,0.771015,0.20712808,0.12501968
Warrior_I,0.42774072,0.3363261,0.45530522,0.41071138,0.34118813,0.7027007,0.40936604,0.33669904,0.7344789,0.40291047,0.37326345,0.5635011,0.39862275,0.3642743,0.6796813,0.4610196,0.40626156,0.5842794,0.4503646,0.398833,0.64619595,0.34034094,0.3583766,0.70285845,0.33794025,0.35915476,0.36090857,0.24608007,0.32520142,0.8160986,0.24277368,0.3292454,0.56446964,0.6036547,0.5044619,0.6153169,0.5965128,0.47861466,0.6059961,0.68357724,0.6232756,0.63067377,0.59199685,0.3640471,0.8119673,0.72608405,0.799125,0.8245736,0.74374664,0.35460654,0.7830951
Warrior_I,0.387128,0.40582097,0.5277967,0.3842033,0.40509272,0.6026738,0.38027063,0.39663762,0.607458,0.39381552,0.3859772,0.46126863,0.38585347,0.3703748,0.5264529,0.43387306,0.39559,0.69267607,0.40873414,0.38990062,0.58551675,0.44476795,0.3900391,0.09056219,0.33249143,0.40686104,0.687367,0.4287423,0.38246617,0.19067633,0.27269372,0.4096366,0.86796737,0.5899944,0.4056074,0.57922494,0.58634835,0.390719,0.68567836,0.60503054,0.51912636,0.5561394,0.6448174,0.2846421,0.64505595,0.71069187,0.50043243,0.6177452,0.68362063,0.19982293,0.71726245
Warrior_I,0.3326507,0.4071486,0.698671,0.3205135,0.42788696,0.8071515,0.320418,0.4263651,0.8144212,0.3421542,0.46380734,0.7998158,0.34434387,0.45752573,0.83683753,0.425003,0.45539057,0.73008186,0.42183656,0.44877467,0.8724714,0.26242784,0.4251935,0.6736476,0.29013824,0.4213313,0.50496715,0.12682313,0.42425233,0.6433499,0.1253512,0.4284906,0.5110654,0.6963173,0.44488722,0.6161029,0.6923929,0.41800606,0.8128024,0.8249494,0.6498931,0.87808144,0.66919667,0.2051759,0.91637135,0.8517208,0.88555855,0.81453663,0.8771658,0.26563886,0.93380445
Warrior_I,0.40336037,0.6945327,0.70025164,0.39075607,0.6938846,0.71702987,0.3884123,0.68820757,0.65881705,0.37032244,0.6605157,0.8740757,0.37070593,0.657874,0.78745437,0.4324361,0.63215244,0.80566674,0.39027774,0.584859,0.9094235,0.3847903,0.7102558,0.37256473,0.3659211,0.7062319,0.8012988,0.31539387,0.8021264,0.56871897,0.30884835,0.7996249,0.87771195,0.5418692,0.485645,0.6733377,0.5349944,0.44053832,0.7332978,0.5548385,0.6208146,0.6561149,0.6153844,0.27444953,0.7844473,0.7407433,0.639812,0.84302115,0.70821804,0.1236209,0.92885786
Warrior_I,0.4397337,0.28728566,0.31106278,0.43890062,0.28633833,0.30809495,0.43875656,0.28831232,0.2987928,0.45108104,0.2718077,0.37798363,0.45502815,0.2823352,0.38122857,0.4724676,0.25695792,0.48860133,0.4734699,0.2847368,0.4573214,0.44556797,0.2784946,0.25636956,0.48856536,0.3064329,0.17783335,0.41161555,0.27698216,0.23160672,0.40156454,0.28554943,0.2840182,0.5221121,0.253473,0.2893822,0.52163625,0.27995542,0.30624703,0.49899298,0.27023393,0.20837058,0.5038691,0.31682327,0.33527976,0.5135831,0.3121597,0.09863905,0.5140902,0.3503725,0.11958637
Warrior_I,0.2815253,0.5344306,0.55153406,0.2779389,0.5237178,0.42984203,0.28140083,0.5219909,0.56125,0.32387653,0.49277407,0.71233064,0.3274412,0.49033776,0.5007914,0.36450055,0.52190715,0.82495064,0.3726165,0.5335865,0.55969596,0.24185304,0.54316634,0.3095203,0.23584433,0.5478951,0.27769244,0.109052986,0.53162724,0.29131347,0.10586704,0.5326743,0.52069134,0.59768635,0.5681858,0.84318805,0.5967939,0.54514736,0.8545449,0.6703407,0.7388639,0.7884285,0.7408394,0.39919755,0.7118019,0.8596771,0.715335,0.72551024,0.8327077,0.21918415,0.84921485
Warrior_I,0.35172212,0.49249458,0.7143693,0.34338117,0.50578815,0.585233,0.3435032,0.504596,0.5913035,0.35968652,0.52962023,0.7139581,0.35738325,0.5275517,0.7405855,0.41409293,0.53481346,0.79231256,0.40509385,0.5064613,0.82893026,0.3163695,0.51510763,0.43441474,0.3118599,0.5069821,0.7923499,0.22748514,0.52881914,0.7424167,0.22636259,0.52455956,0.7856876,0.5832432,0.51866394,0.8942456,0.5816903,0.48573816,0.9078552,0.6702461,0.6271207,0.83479494,0.62772036,0.3627392,0.84847456,0.7474427,0.7274979,0.7606727,0.7575738,0.32940674,0.92930984
Warrior_I,0.35374776,0.4466655,0.63872993,0.34820077,0.45949906,0.7321512,0.3485672,0.4586795,0.69340247,0.3656036,0.48445684,0.76325047,0.362345,0.48384538,0.6289708,0.4246016,0.47755897,0.7293607,0.41821313,0.4755683,0.7455223,0.3122741,0.47690263,0.68067425,0.31172922,0.4761874,0.58966005,0.24473254,0.5001593,0.62412626,0.23989701,0.49554878,0.76421905,0.57956874,0.46290573,0.6149151,0.5730879,0.4490432,0.8768428,0.6737971,0.5668031,0.7442513,0.6083892,0.31167778,0.8466754,0.7478532,0.68424094,0.7510961,0.74274725,0.29455748,0.9027915
