Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Warrior_III,0.38904274,0.33975434,0.6707389,0.37793508,0.34420753,0.5593797,0.37742534,0.34477133,0.4698986,0.37889436,0.37216797,0.72678745,0.37606186,0.37152207,0.55794454,0.41897386,0.3955113,0.709109,0.41200227,0.40279534,0.785134,0.425137,0.29161415,0.66955715,0.42573607,0.2977649,0.78098017,0.41355342,0.21773319,0.7164969,0.41087833,0.2351277,0.6476979,0.468651,0.5427122,0.7321387,0.48096454,0.5358174,0.6622859,0.47240528,0.6830371,0.8582231,0.59461445,0.52338433,0.87826055,0.44429374,0.78607035,0.8195098,0.70694864,0.52985895,0.83840483
Warrior_III,0.46981573,0.26834798,0.5883611,0.45748273,0.25776803,0.7731871,0.45573112,0.25868365,0.81507516,0.42609146,0.27594313,0.80440724,0.43044683,0.27260122,0.8044203,0.4317668,0.31446415,0.7953539,0.426505,0.32573834,0.6878205,0.46104613,0.21893142,0.53200513,0.45480904,0.22340533,0.65932155,0.44272414,0.13476977,0.67952144,0.43866226,0.14092648,0.7710535,0.4466874,0.51962286,0.647726,0.4275867,0.5352068,0.79502356,0.6022257,0.50494844,0.5474763,0.42929092,0.69333297,0.7513236,0.76007086,0.5111423,0.8851722,0.41779622,0.8322713,0.8209691
Warrior_III,0.6077438,0.6693002,0.41199046,0.60128224,0.67692447,0.46997157,0.6011737,0.67356116,0.30513078,0.5891888,0.6578806,0.5630361,0.58727026,0.65931475,0.57357305,0.5662973,0.63169515,0.641471,0.57537603,0.61730856,0.6655743,0.5872529,0.7000608,0.39679304,0.60983676,0.70981795,0.5342812,0.5919142,0.7523815,0.4914182,0.6037133,0.7573987,0.6114927,0.61904794,0.4925103,0.6213422,0.61714983,0.47572914,0.5858606,0.7079706,0.5063818,0.4205282,0.6735951,0.4875014,0.2700547,0.8286798,0.52160466,0.7566605,0.6480117,0.28970063,0.7583176
Warrior_III,0.44467723,0.19808924,0.61312586,0.43756545,0.1880864,0.5160039,0.43577158,0.18992482,0.5712446,0.41802728,0.19938922,0.7103978,0.41524997,0.19802076,0.6044258,0.41618443,0.23302948,0.63318443,0.4092225,0.23421688,0.75220627,0.42671967,0.13360456,0.45802033,0.43033776,0.14802513,0.54192,0.40954027,0.08575337,0.7549546,0.40503794,0.09321749,0.68577135,0.451148,0.40505776,0.69215494,0.45834452,0.40266195,0.6566396,0.4676452,0.52116746,0.7682895,0.56634736,0.35300657,0.7610713,0.4587844,0.6320898,0.77610093,0.68375856,0.36586866,0.8890301
Warrior_III,0.38903207,0.27345213,0.81805885,0.3753799,0.27773204,0.7730999,0.37258884,0.2789371,0.72652996,0.37157556,0.32129845,0.92144495,0.36856773,0.32068768,0.9254268,0.40396422,0.3619383,0.8003679,0.3933035,0.36127958,0.8361193,0.44431737,0.24291708,0.5831211,0.42106172,0.2536745,0.6552382,0.44067442,0.13773964,0.57014835,0.42559648,0.15423027,0.75286144,0.4240812,0.5945144,0.6679415,0.42976293,0.58086306,0.7913333,0.42484036,0.7641459,0.82058674,0.61000377,0.53844166,0.76175964,0.37258288,0.9100864,0.83996284,0.7587618,0.5348327,0.9147682
Warrior_III,0.473826,0.6776823,0.6958184,0.4589133,0.68544835,0.63456905,0.45603222,0.68356216,0.59531647,0.43780014,0.6695155,0.7302107,0.43517455,0.6654677,0.77073115,0.4343047,0.6259224,0.7795446,0.43950763,0.62737656,0.7444068,0.43037888,0.7192116,0.7194885,0.44647944,0.71925175,0.38285932,0.4128599,0.80426824,0.74328864,0.42228422,0.81078154,0.63675565,0.47009352,0.4010858,0.5859055,0.44526392,0.38783965,0.8320247,0.63140553,0.3822229,0.807384,0.4297371,0.22380161,0.85201836,0.77679527,0.41135222,0.7538774,0.38588804,0.10160856,0.8469079
Warrior_III,0.58153987,0.49607858,0.36697233,0.5715228,0.5021668,0.54216,0.57162,0.49417523,0.51862484,0.57065755,0.5271325,0.54323804,0.5707574,0.5156514,0.23865373,0.6025321,0.5649107,0.3681685,0.58281654,0.54690427,0.2595818,0.65806144,0.5318501,0.54259586,0.64272785,0.5216289,0.17565204,0.6183046,0.47174823,0.24144083,0.6093675,0.4729356,0.23618697,0.59221166,0.6686543,0.35112745,0.5756656,0.6678391,0.29736704,0.69244677,0.66595066,0.22583574,0.58766264,0.75849545,0.23891638,0.7890329,0.6367451,0.3679291,0.57462424,0.85139114,0.5373116
Warrior_III,0.4449016,0.74151874,0.7184671,0.43261528,0.74522203,0.66121995,0.4293877,0.7443194,0.63659436,0.4110959,0.7192008,0.78595716,0.40738955,0.7222959,0.777036,0.42231524,0.6762552,0.7380409,0.40491223,0.6872332,0.7025907,0.4368399,0.76729757,0.58612984,0.4277469,0.77098924,0.734321,0.44061837,0.84656906,0.45419034,0.43490312,0.85963297,0.45102274,0.4628695,0.48152342,0.688393,0.44157866,0.47477996,0.7349266,0.61023,0.4779756,0.74743885,0.42998534,0.33338293,0.74654764,0.73844945,0.48804235,0.87405735,0.39172563,0.18731903,0.8573768
Warrior_III,0.62021476,0.56428105,0.07506006,0.61182535,0.5702275,0.06514609,0.6101739,0.5695723,0.06852243,0.59052694,0.7292177,0.065971136,0.61525226,0.5911658,0.058575153,0.59312326,0.7166739,0.10861697,0.6256409,0.57820183,0.07414834,0.63593966,0.5727348,0.074262634,0.63489914,0.5819245,0.05980224,0.63507795,0.5665704,0.13162132,0.6335067,0.5708814,0.10834377,0.61571246,0.5489592,0.03907672,0.6103809,0.552129,0.041938897,0.6303314,0.564776,0.059335694,0.6179179,0.47978187,0.05127713,0.6367467,0.5584855,0.115234256,0.6208758,0.4735407,0.2122559
Warrior_III,0.49625126,0.33475462,0.42946792,0.49097723,0.32836464,0.5634276,0.49173513,0.33040082,0.58066523,0.47273737,0.3254224,0.5600512,0.4696199,0.327483,0.37005138,0.4604851,0.35406178,0.5720059,0.44282413,0.3677354,0.727974,0.47609663,0.28993127,0.21602415,0.4643396,0.29844886,0.31183,0.4854508,0.21109596,0.5184896,0.47673148,0.2106678,0.77202564,0.4941548,0.51589704,0.824873,0.47280547,0.5288158,0.748889,0.6009517,0.4914071,0.51325923,0.5119189,0.6533925,0.5681372,0.7378923,0.49056986,0.74832153,0.48794603,0.7789647,0.6042753
