Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Wide-Angle_Seated_Forward_Bend,0.5846146,0.4899255,0.38222718,0.60355896,0.497321,0.35620728,0.6069388,0.47748792,0.53488433,0.58830553,0.5179949,0.636933,0.5956095,0.47402126,0.6295541,0.5270398,0.5856996,0.8309141,0.52614224,0.4266528,0.6884867,0.5043763,0.71555954,0.7955752,0.5107266,0.2825125,0.46827006,0.507426,0.85763323,0.4256991,0.5141469,0.15034196,0.72424185,0.2902243,0.5394578,0.6769535,0.28662443,0.43986854,0.82732457,0.43581495,0.73279554,0.84994394,0.43560198,0.27789238,0.82012224,0.50122976,0.8646637,0.59990793,0.5148551,0.13793014,0.40764755
Wide-Angle_Seated_Forward_Bend,0.3317023,0.47985768,0.72730935,0.31306538,0.4987635,0.42595315,0.3107504,0.46100685,0.74417,0.3285154,0.52487427,0.77560747,0.3245157,0.44076064,0.5863661,0.4169027,0.5696002,0.8844814,0.4041769,0.40343592,0.8794286,0.5406895,0.51847327,0.54769987,0.538982,0.43758547,0.80500233,0.5658029,0.52417105,0.37755385,0.5665776,0.5160035,0.31672764,0.5106295,0.54623556,0.73160166,0.50078994,0.42830372,0.76420945,0.52171,0.71452814,0.8100907,0.5092139,0.26416236,0.6395422,0.5365264,0.91850394,0.90053564,0.525955,0.06704143,0.9030546
Wide-Angle_Seated_Forward_Bend,0.47614455,0.6749743,0.6842368,0.44748384,0.684446,0.5736934,0.44793662,0.654128,0.812439,0.4401648,0.64407384,0.16335317,0.43812725,0.56026644,0.5163402,0.45960099,0.5794715,0.39743012,0.4819741,0.43911284,0.459887,0.48530117,0.72940737,0.42756104,0.57031465,0.26306415,0.5910985,0.45883572,0.858655,0.32020134,0.6154907,0.14237663,0.34541497,0.425196,0.2748438,0.43206257,0.45092455,0.19354388,0.586235,0.47375935,0.35285625,0.15727597,0.5180492,0.17028926,0.34555352,0.6054912,0.15892944,0.22160384,0.6410129,0.10376545,0.49008286
Wide-Angle_Seated_Forward_Bend,0.34419847,0.37045953,0.34949958,0.32788044,0.36822492,0.40947974,0.3182991,0.37156266,0.33726904,0.33841828,0.38384238,0.388416,0.3118196,0.39719263,0.19048403,0.38844264,0.4442569,0.63810647,0.32307336,0.45863578,0.31410375,0.5004701,0.39558002,0.7797361,0.3661378,0.4600472,0.15487456,0.48574668,0.2969933,0.5156597,0.4304675,0.3286265,0.4413904,0.43924585,0.6379111,0.7270628,0.39455312,0.61944515,0.59036946,0.5606781,0.49452728,0.6593514,0.5185457,0.5018094,0.30374932,0.70389247,0.3557259,0.6559097,0.54061574,0.5054324,0.07041927
Wide-Angle_Seated_Forward_Bend,0.6902644,0.47101694,0.15953265,0.68907887,0.48836535,0.14190987,0.66575724,0.45482248,0.27730268,0.70418006,0.49282566,0.24609326,0.6522871,0.43900236,0.2831508,0.69041365,0.49739024,0.30956772,0.621575,0.4029335,0.30579382,0.67225665,0.6537737,0.3301894,0.67421573,0.330543,0.6032354,0.72985995,0.21593326,0.41192707,0.7201614,0.23058231,0.48264986,0.62164766,0.5128405,0.316597,0.5687454,0.455655,0.5020416,0.684749,0.6552014,0.6622696,0.72854644,0.33783916,0.54169965,0.79110426,0.8363661,0.66206443,0.8106655,0.17768162,0.37792993
Wide-Angle_Seated_Forward_Bend,0.50280476,0.5075842,0.39220664,0.48689443,0.5272228,0.37766495,0.49507737,0.48730153,0.20312311,0.46259913,0.53148526,0.56267107,0.46726322,0.4507914,0.39174828,0.4546872,0.5664682,0.73521924,0.43563065,0.4219391,0.61405915,0.53075594,0.59845585,0.53109944,0.53346676,0.3737527,0.5423481,0.5746083,0.59450567,0.72024083,0.57041895,0.38196424,0.75577307,0.5056364,0.5592649,0.42126676,0.5015514,0.46088198,0.4310538,0.5361656,0.66789436,0.5899784,0.52504736,0.33856162,0.3253252,0.5672396,0.84495205,0.894834,0.5654266,0.15087552,0.77282625
Wide-Angle_Seated_Forward_Bend,0.5925823,0.52766716,0.2467387,0.61526906,0.5177903,0.3331287,0.6132879,0.5245126,0.33168143,0.60654646,0.49361432,0.35751563,0.60236275,0.5107372,0.4888232,0.54103196,0.4897839,0.5932008,0.52587,0.5197535,0.3667451,0.56738037,0.71138,0.7010048,0.60940677,0.31396997,0.6107966,0.59735376,0.8016065,0.7285581,0.67007995,0.22447932,0.5094577,0.35319173,0.53350705,0.61481917,0.3673369,0.47119662,0.7316176,0.4289705,0.70969826,0.5278812,0.4832316,0.28198257,0.44988373,0.46726987,0.8771463,0.49954858,0.62908775,0.27365676,0.034123063
Wide-Angle_Seated_Forward_Bend,0.43342087,0.5107232,0.7877739,0.41513428,0.52411425,0.87912047,0.41438594,0.49520403,0.84336495,0.41142052,0.5404518,0.83843344,0.40786725,0.4754392,0.73521805,0.46994781,0.572887,0.7205233,0.4753995,0.43210799,0.7710728,0.58927554,0.6260715,0.82801956,0.5800827,0.38208494,0.82435006,0.67400694,0.65365076,0.93481475,0.67179954,0.3601396,0.8616924,0.6198523,0.5515244,0.84582585,0.6179718,0.4698068,0.86387753,0.6517378,0.6855562,0.4926174,0.65809876,0.33143216,0.7499445,0.67233473,0.8636685,0.9168124,0.6710349,0.14657737,0.62200576
Wide-Angle_Seated_Forward_Bend,0.6251443,0.42752394,0.25545976,0.62753326,0.44269484,0.32956994,0.63541853,0.4236865,0.27718014,0.64505595,0.48020467,0.29369423,0.6322009,0.42692295,0.24994694,0.62980944,0.49419877,0.51803535,0.6184985,0.39889622,0.4200664,0.68842375,0.50865686,0.41092238,0.68628794,0.38223392,0.5588192,0.73291445,0.50336736,0.5490033,0.71954286,0.38349771,0.43891346,0.5963892,0.46556115,0.34303176,0.5927208,0.4128919,0.33718866,0.6712627,0.3830243,0.11367286,0.6525495,0.5318761,0.1879091,0.6716454,0.18758972,0.45398444,0.6744797,0.71553457,0.55430835
Wide-Angle_Seated_Forward_Bend,0.49161977,0.40515167,0.29542747,0.46970227,0.4042039,0.28504434,0.4765818,0.38605675,0.37959835,0.45388815,0.4110285,0.38447922,0.46079025,0.38380668,0.39569277,0.47363842,0.50089407,0.7125286,0.5069431,0.36232844,0.7122532,0.582022,0.531944,0.88869876,0.55124617,0.26907548,0.3268609,0.60861063,0.4695899,0.7207381,0.5893332,0.40689144,0.2916802,0.54543495,0.5710392,0.7644602,0.55018485,0.47353858,0.45802867,0.57211775,0.73895013,0.71849054,0.5534183,0.281621,0.8474091,0.55383176,0.9132374,0.69449854,0.53381836,0.12080079,0.28030992
