Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Wide-Legged_Forward_Bend,0.63131595,0.500995,0.5241536,0.6372245,0.52424645,0.63105214,0.63628924,0.4864814,0.5059543,0.60793996,0.5410781,0.6582966,0.6044518,0.45889685,0.68322396,0.53102845,0.6000515,0.8501893,0.53021324,0.40210253,0.8128813,0.39256373,0.67758584,0.86789554,0.38274136,0.33852845,0.79936737,0.40064484,0.651257,0.08606048,0.36595118,0.35149312,0.23769566,0.3116607,0.565369,0.7563302,0.30428228,0.41502696,0.6520889,0.53754216,0.6998508,0.7378889,0.52359986,0.31533828,0.8118153,0.7043524,0.8210754,0.70756817,0.7000072,0.17528582,0.89771336
Wide-Legged_Forward_Bend,0.6252381,0.5221613,0.47550878,0.6397162,0.53816104,0.5939814,0.6382624,0.5083554,0.5102444,0.62678385,0.5578725,0.6839272,0.6220714,0.48749492,0.5748253,0.5525681,0.60418224,0.68301713,0.5582235,0.4333557,0.83687603,0.541707,0.7034587,0.79178613,0.5428012,0.3492083,0.6911186,0.6315119,0.74558175,0.78153133,0.6311236,0.30129033,0.6101588,0.3135159,0.5823509,0.6893176,0.3177514,0.46988273,0.8322898,0.52633584,0.6884698,0.6190973,0.52671826,0.36499125,0.690586,0.6272589,0.7438714,0.4582788,0.64254093,0.30381668,0.7504607
Wide-Legged_Forward_Bend,0.65541404,0.47363877,0.4147628,0.6840602,0.48360345,0.48085135,0.67433774,0.4753406,0.6264053,0.66608083,0.5405668,0.56862295,0.65397596,0.49388996,0.52252793,0.5913752,0.60413855,0.50088584,0.5867147,0.5053957,0.4050093,0.71108407,0.67994666,0.6947807,0.66289806,0.3652978,0.3098368,0.7373276,0.83647597,0.7007453,0.7416454,0.84372455,0.51655173,0.22445372,0.58436203,0.7427451,0.21456864,0.4293283,0.81277317,0.49475878,0.7187349,0.7584021,0.4878676,0.27805695,0.9388602,0.7387002,0.8518914,0.5760179,0.6769318,0.15057984,0.49820098
Wide-Legged_Forward_Bend,0.7014708,0.4935275,0.5221398,0.7207941,0.5202823,0.6503194,0.7204783,0.47179943,0.5139998,0.6884348,0.5581461,0.7044007,0.6798947,0.44105238,0.6437675,0.54957294,0.6330135,0.75185084,0.5430875,0.38285354,0.83216876,0.51715386,0.7887082,0.7152581,0.50685936,0.22527838,0.8219687,0.6785291,0.8535337,0.89961094,0.6701862,0.13288458,0.7567006,0.21141909,0.5869815,0.83368516,0.2081797,0.4220825,0.8759789,0.5039351,0.74954516,0.6076625,0.48489273,0.26446894,0.7890107,0.70513445,0.8565005,0.3455883,0.6890351,0.13216114,0.60182935
Wide-Legged_Forward_Bend,0.4332675,0.48213133,0.51516324,0.41234428,0.504367,0.8370412,0.4119836,0.46372175,0.8168205,0.397862,0.53694135,0.8354234,0.38801447,0.4332206,0.6653714,0.44634864,0.59142286,0.79864186,0.4447517,0.37840745,0.68312335,0.5814156,0.5894238,0.87068206,0.57679474,0.39229134,0.74685377,0.6816343,0.5947198,0.8809853,0.6826028,0.39155895,0.848785,0.29765725,0.56723815,0.793356,0.30127844,0.43455586,0.77009845,0.4962157,0.6744253,0.6933574,0.4906041,0.32644293,0.7742852,0.6826265,0.79256445,0.93184394,0.67284226,0.21104936,0.7664186
Wide-Legged_Forward_Bend,0.6925052,0.5039384,0.5573732,0.71571654,0.52597827,0.45127097,0.7153106,0.4907467,0.5617321,0.69064265,0.55934846,0.725595,0.68267757,0.4640952,0.5568826,0.5404814,0.63253057,0.85431045,0.54471916,0.38832808,0.7004034,0.4975347,0.7804323,0.76801705,0.504985,0.2446048,0.6917614,0.6183393,0.85505223,0.80159944,0.63727367,0.15192291,0.7110362,0.2626971,0.59007,0.8926225,0.26362368,0.40834844,0.7697162,0.49377704,0.738168,0.7917482,0.5078748,0.2881649,0.74105614,0.66845196,0.8685311,0.5996644,0.6654701,0.1458403,0.7498432
Wide-Legged_Forward_Bend,0.55092365,0.41989803,0.4876332,0.5386761,0.42795455,0.60492826,0.55222315,0.40292913,0.56289124,0.47609174,0.43947414,0.41385794,0.49903217,0.3815687,0.43301246,0.45665187,0.5135682,0.39592955,0.4500418,0.36667648,0.7954971,0.5776766,0.5513606,0.16556337,0.55983275,0.36699703,0.30829853,0.692182,0.51096356,0.46022952,0.67923105,0.3738981,0.39638913,0.3437054,0.59360045,0.7325389,0.34410852,0.48863885,0.53420484,0.52721876,0.5851169,0.47171783,0.47565183,0.37780467,0.18872064,0.69597256,0.66336346,0.518443,0.62998974,0.34852803,0.41779655
Wide-Legged_Forward_Bend,0.5271097,0.49838203,0.34147027,0.52426505,0.5108102,0.32705224,0.53106695,0.48562372,0.53184074,0.50621754,0.5276252,0.6162339,0.50433034,0.47020504,0.5706423,0.46644184,0.5673245,0.58822614,0.47323596,0.41966948,0.46853638,0.40649205,0.6021506,0.5280994,0.41102743,0.37453097,0.2863611,0.47959495,0.548025,0.16800472,0.40429977,0.40584016,0.20088041,0.34562856,0.56940794,0.6683124,0.34535003,0.46559924,0.6078781,0.45441842,0.66076076,0.7322007,0.45614225,0.35169584,0.6403668,0.5780836,0.7776447,0.54924345,0.5667796,0.2494006,0.6223378
Wide-Legged_Forward_Bend,0.63864,0.4839419,0.38198087,0.6516111,0.4954999,0.3907939,0.65165925,0.46771163,0.44937065,0.62040395,0.51353735,0.48174146,0.61676645,0.4478691,0.64197946,0.5727349,0.5376324,0.64500606,0.5744449,0.41421458,0.7773786,0.5498835,0.6231236,0.5117058,0.6111428,0.3579683,0.32821295,0.530196,0.6936717,0.5244557,0.5161737,0.26803973,0.5925209,0.48762643,0.50339025,0.75543606,0.4876919,0.4379147,0.8078211,0.59480447,0.56635994,0.40229923,0.6010231,0.37765053,0.45275155,0.7032032,0.631764,0.2553948,0.7130056,0.3049116,0.65960354
Wide-Legged_Forward_Bend,0.5669177,0.5387736,0.40785366,0.582439,0.54004836,0.39189607,0.5825778,0.5274411,0.48269308,0.57477224,0.55107963,0.5939764,0.5729687,0.50740296,0.5004411,0.5156952,0.5882376,0.65998924,0.5237228,0.45579442,0.5813437,0.61869884,0.5752343,0.39516675,0.6224861,0.46068016,0.45429823,0.6256447,0.558524,0.23270781,0.6302342,0.47373885,0.39785293,0.35933837,0.5515297,0.7773867,0.3652471,0.4608814,0.6347739,0.49944374,0.61629254,0.7564028,0.4935481,0.4114968,0.5441353,0.6184853,0.69710845,0.37406164,0.6205557,0.33539346,0.3922607
