Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Wild_Thing,0.47100604,0.29457498,0.47633874,0.4724137,0.2937727,0.6918535,0.4811607,0.29992607,0.6008946,0.46185625,0.32124913,0.6402362,0.48264453,0.33454177,0.52017003,0.40545905,0.36085528,0.6692354,0.48204663,0.37367195,0.7517421,0.43160906,0.24756452,0.6355833,0.587955,0.33097053,0.6153109,0.48703614,0.1950232,0.8400932,0.67148596,0.2956896,0.75739,0.41407323,0.59577227,0.7732466,0.46213326,0.57140183,0.6884339,0.4820277,0.70086116,0.7880806,0.56491244,0.6828795,0.57571566,0.6192944,0.62759984,0.42662776,0.67265314,0.82045627,0.58373314
Wild_Thing,0.6632998,0.18569997,0.50869936,0.6755525,0.19214015,0.5935512,0.6772669,0.19334725,0.5818456,0.67341226,0.24261294,0.48581335,0.6782386,0.2472643,0.5457418,0.62526345,0.30907485,0.28809896,0.6815435,0.31921163,0.45914358,0.60248786,0.16598813,0.43973556,0.8372333,0.3090705,0.58684796,0.6439994,0.07265764,0.33194724,0.9548903,0.27196965,0.5880641,0.65134317,0.5779949,0.63222843,0.64649177,0.599176,0.61868066,0.7703792,0.68474853,0.5445851,0.80339897,0.74770856,0.34667897,0.9423929,0.62669235,0.48758507,0.9300719,0.84305966,0.4964779
Wild_Thing,0.55522484,0.7806109,0.7316934,0.57466346,0.77553004,0.70165884,0.568995,0.7777164,0.75554895,0.57876414,0.71545804,0.80425346,0.5702985,0.72363997,0.8666685,0.55948484,0.64447075,0.7563451,0.50010014,0.693635,0.65932363,0.7135665,0.67220086,0.85665804,0.5064733,0.82896113,0.89450556,0.8572158,0.6952663,0.8412752,0.5587386,0.92914087,0.82931757,0.49663907,0.44577274,0.6605252,0.4712783,0.45520204,0.80604994,0.6373554,0.27038148,0.8400167,0.63022923,0.26235777,0.74094623,0.8448129,0.1137211,0.82556826,0.79273,0.31997898,0.7059535
Wild_Thing,0.55171645,0.7254015,0.63993627,0.56125325,0.70596534,0.635331,0.55934054,0.70969546,0.62399536,0.5383365,0.6627514,0.56615245,0.5354512,0.666173,0.63917124,0.45810765,0.6476992,0.6170803,0.44208702,0.6946247,0.73474115,0.6038687,0.7052135,0.8226103,0.51269895,0.81112295,0.877266,0.743453,0.7269155,0.90698093,0.6133258,0.89552236,0.83519506,0.34614888,0.43108273,0.8427998,0.33685532,0.4320607,0.8403462,0.5298217,0.265894,0.87736225,0.5107412,0.2993444,0.6218884,0.70886654,0.13886268,0.8685737,0.67996186,0.34772924,0.722409
Wild_Thing,0.38468608,0.16577454,0.6312652,0.3990182,0.16304532,0.74336666,0.39611638,0.16364086,0.70830244,0.40995225,0.19132762,0.6949703,0.39892533,0.18590856,0.5703698,0.39036435,0.25222462,0.5157653,0.3588904,0.26112723,0.1625159,0.5575227,0.2060343,0.36359146,0.5674801,0.19779399,0.6535746,0.66749215,0.116289,0.327505,0.6659407,0.11731298,0.7996547,0.30362096,0.52858377,0.6818814,0.2884232,0.53191334,0.66913086,0.45861128,0.6867331,0.12740754,0.5004874,0.7582582,0.7331447,0.54294634,0.66518337,0.38732967,0.6937426,0.9215087,0.38894475
Wild_Thing,0.69145644,0.69811857,0.2496471,0.70481944,0.6942593,0.5091964,0.7038923,0.70725274,0.53955704,0.7038368,0.66363716,0.59035635,0.7002116,0.6860859,0.44379684,0.65333885,0.6157031,0.36647505,0.6646246,0.6469332,0.5949319,0.47524416,0.6759333,0.63429666,0.82949233,0.6602681,0.29173818,0.36495063,0.7166629,0.59527075,0.95673543,0.7176981,0.33477774,0.5654415,0.43171027,0.4018517,0.5803608,0.4164942,0.36690062,0.7414722,0.25057596,0.47777724,0.7358723,0.2480946,0.61056364,0.93941015,0.27681467,0.16505523,0.9357508,0.28562075,0.17708762
Wild_Thing,0.4571548,0.3661276,0.2761464,0.4562497,0.3681167,0.39842254,0.46549067,0.3709939,0.40081,0.45632,0.3780203,0.64150304,0.4857687,0.37864357,0.5877411,0.4301205,0.39836985,0.4734375,0.5200474,0.4094587,0.69980544,0.40992212,0.33246467,0.65340286,0.59035844,0.38207418,0.42837435,0.4462642,0.27947867,0.67304295,0.6614328,0.36155027,0.67271936,0.45184323,0.5622849,0.66652215,0.5051812,0.56049484,0.69722253,0.5651227,0.67892176,0.48442033,0.5760271,0.65856946,0.5279731,0.62817,0.768968,0.24862468,0.6289315,0.77082735,0.29857957
Wild_Thing,0.45644152,0.2682097,0.69563603,0.47093663,0.2592437,0.71936566,0.48149356,0.26082733,0.5234777,0.49780077,0.28388286,0.7682309,0.51143,0.29432455,0.8139038,0.4286046,0.35074332,0.78606546,0.54239106,0.37718755,0.59101945,0.3189219,0.32266164,0.61154544,0.668434,0.3702494,0.91457546,0.2235502,0.2733272,0.90868986,0.7623001,0.3355898,0.8463586,0.47925892,0.57477826,0.87169486,0.533184,0.54517365,0.69392854,0.5963345,0.7066159,0.67381406,0.6464098,0.7005337,0.86077356,0.71723557,0.61765754,0.91612035,0.7799861,0.8153404,0.74710053
Wild_Thing,0.42483005,0.7172685,0.6947244,0.44083205,0.72529167,0.7976672,0.41483855,0.7339594,0.6733449,0.4421296,0.6962646,0.7023433,0.3818431,0.723895,0.80456996,0.45052573,0.627689,0.6870276,0.33185107,0.6649379,0.804003,0.57639337,0.6622088,0.6208551,0.37464243,0.7969048,0.6186104,0.68273115,0.69432455,0.88038164,0.41203868,0.9048374,0.85038763,0.4085717,0.4044357,0.76028407,0.35547933,0.39182696,0.80516016,0.5109816,0.24908094,0.7873225,0.48267108,0.25506875,0.63628995,0.6772403,0.09923196,0.83833236,0.62960976,0.35248357,0.7243864
Wild_Thing,0.6421315,0.759702,0.3273654,0.6253378,0.77101964,0.4327468,0.62671185,0.7728887,0.4176598,0.59425426,0.7672703,0.37768516,0.5995944,0.7646031,0.44545072,0.5982741,0.7027155,0.20484734,0.5889961,0.68869823,0.21496478,0.75078,0.672482,0.36633715,0.74919826,0.6704684,0.35123202,0.8522468,0.71785915,0.7113983,0.85305965,0.7176254,0.28024837,0.5808044,0.45763087,0.36925402,0.5843374,0.45487547,0.56132466,0.7079992,0.28229904,0.30302277,0.6863655,0.3007724,0.18142173,0.85814476,0.2679482,0.37758934,0.82262427,0.15233453,0.46272263
