Class,Nose_x,Nose_y,Nose_conf,LeftEye_x,LeftEye_y,LeftEye_conf,RightEye_x,RightEye_y,RightEye_conf,LeftEar_x,LeftEar_y,LeftEar_conf,RightEar_x,RightEar_y,RightEar_conf,LeftShoulder_x,LeftShoulder_y,LeftShoulder_conf,RightShoulder_x,RightShoulder_y,RightShoulder_conf,LeftElbow_x,LeftElbow_y,LeftElbow_conf,RightElbow_x,RightElbow_y,RightElbow_conf,LeftWrist_x,LeftWrist_y,LeftWrist_conf,RightWrist_x,RightWrist_y,RightWrist_conf,LeftHip_x,LeftHip_y,LeftHip_conf,RightHip_x,RightHip_y,RightHip_conf,LeftKnee_x,LeftKnee_y,LeftKnee_conf,RightKnee_x,RightKnee_y,RightKnee_conf,LeftAnkle_x,LeftAnkle_y,LeftAnkle_conf,RightAnkle_x,RightAnkle_y,RightAnkle_conf
Yogic_sleep,0.53769946,0.486022,0.5051155,0.5371523,0.47660238,0.5432042,0.5389438,0.47201243,0.5250767,0.57370573,0.45165715,0.39132255,0.581769,0.44317397,0.5511012,0.5865253,0.51107246,0.5670832,0.6157084,0.47346517,0.37064102,0.65965295,0.64645714,0.34490812,0.6742315,0.6448626,0.41110232,0.5834636,0.60097826,0.11769912,0.637527,0.43198502,0.19742072,0.5979843,0.6303641,0.30865535,0.64781386,0.6447897,0.13143899,0.5913278,0.60619545,0.22573029,0.60622454,0.57385087,0.117015615,0.5919404,0.52043164,0.13455439,0.64161754,0.3904124,0.3039192
Yogic_sleep,0.7615068,0.48964673,0.36283365,0.7661125,0.47493884,0.3844084,0.76683676,0.47555348,0.35969836,0.8074856,0.46562156,0.2747047,0.8239176,0.46890885,0.17576663,0.82141614,0.5238636,0.3861503,0.86870253,0.5112627,0.25918758,0.81637233,0.5307486,0.17950678,0.9158139,0.5389802,0.53468883,0.81565714,0.5142013,0.19183978,0.81341696,0.40267727,0.17074402,0.8818121,0.6109191,0.13658658,0.90923756,0.6397886,0.094883926,0.81436193,0.5762677,0.15717003,0.91050905,0.5404679,0.20428303,0.8365176,0.5224594,0.15727755,0.8834958,0.53552246,0.12099674
Yogic_sleep,0.3218777,0.43316162,0.6277465,0.30527383,0.401002,0.735173,0.3261827,0.38496557,0.74685097,0.3740919,0.3559698,0.33950406,0.43260986,0.3288163,0.6320117,0.38423073,0.5012761,0.67577773,0.48526186,0.41912836,0.4825428,0.49981037,0.6717631,0.24175939,0.63240826,0.6637186,0.79077977,0.54267025,0.8612842,0.24913587,0.6104864,0.8921232,0.74574894,0.3518248,0.9052846,0.3607823,0.53544456,0.79929715,0.101148166,0.4846302,0.47333074,0.26863834,0.5144666,0.45206884,0.12325227,0.5163347,0.47931403,0.032879286,0.4669181,0.13891031,0.37621617
Yogic_sleep,0.35837495,0.4708139,0.7103203,0.3355036,0.43472424,0.7399363,0.34374928,0.42994964,0.7874926,0.41102165,0.36284563,0.59208804,0.42784968,0.36152616,0.7503385,0.45613146,0.50160277,0.40943608,0.51251006,0.4954622,0.42782342,0.6394547,0.7320049,0.5081086,0.65094644,0.7345341,0.8634686,0.66884065,0.9025395,0.3971941,0.67917246,0.9128398,0.7931787,0.49581876,0.91212094,0.5047705,0.66741574,0.83461505,0.121367015,0.48247027,0.49090135,0.13190037,0.49130166,0.48633772,0.15857817,0.48737392,0.5009757,0.087083615,0.5008624,0.1584993,0.16974962
Yogic_sleep,0.35370454,0.3976195,0.68917406,0.35419264,0.3574703,0.7824626,0.36160538,0.35185385,0.7134752,0.4322808,0.31461906,0.5235153,0.44838676,0.30970708,0.622093,0.42522773,0.4648552,0.6046593,0.5084081,0.41267914,0.41228652,0.44317093,0.63443494,0.1941119,0.64503574,0.6773507,0.28083557,0.43828446,0.6329384,0.083078235,0.45471087,0.1561366,0.5715757,0.3311122,0.90239584,0.46917567,0.5472394,0.7878677,0.24086429,0.43880758,0.61779404,0.1011281,0.6737862,0.45740545,0.7256865,0.553499,0.5516861,0.021921216,0.45643625,0.14618403,0.29103193
Yogic_sleep,0.3021532,0.36127687,0.7524364,0.30167884,0.3174107,0.71920747,0.30832073,0.30783102,0.71711975,0.39242858,0.28228965,0.66306406,0.40510234,0.27805734,0.70173556,0.42171606,0.47524458,0.64960456,0.47190222,0.4590697,0.25334835,0.5973296,0.64964855,0.23098335,0.6056203,0.62852174,0.30837715,0.6355671,0.85170484,0.23186259,0.65540934,0.8492531,0.6684301,0.47275224,0.8909684,0.40088984,0.5931083,0.8502701,0.14782022,0.49557152,0.45263892,0.33322603,0.51389015,0.4410364,0.13710596,0.6548778,0.85998887,0.1575208,0.45493433,0.14626883,0.10182851
Yogic_sleep,0.36634365,0.43840468,0.69778347,0.3548019,0.40968,0.7254933,0.3565012,0.41121015,0.73106945,0.39999682,0.36296603,0.5761847,0.4134983,0.35585365,0.5912481,0.46202016,0.44845736,0.5356469,0.5068753,0.43771,0.5557009,0.61533314,0.6277144,0.23725592,0.6382277,0.6325122,0.5383166,0.58976555,0.7594853,0.2257783,0.6412776,0.7970771,0.8237368,0.47321665,0.7769318,0.4445426,0.6148666,0.6652254,0.08271383,0.46731085,0.52151704,0.14820717,0.5049789,0.44196352,0.30060664,0.5330475,0.5349858,0.057087105,0.4834242,0.21571083,0.121592425
Yogic_sleep,0.34844667,0.56560004,0.58381706,0.3434825,0.609849,0.6116971,0.34098306,0.5966374,0.6372708,0.43810934,0.6767602,0.607844,0.4124298,0.6609727,0.37988433,0.5480028,0.63129014,0.13303661,0.4608512,0.52638537,0.30775094,0.70808744,0.48635975,0.45177114,0.5461148,0.32960466,0.16916215,0.68741304,0.13871208,0.2820027,0.65631443,0.12941843,0.45235625,0.64923745,0.356838,0.27658382,0.5808182,0.24422517,0.14559269,0.49348313,0.5323445,0.2970516,0.36270183,0.10851922,0.3064583,0.4796295,0.68517894,0.150057,0.6309712,0.22763604,0.059060935
Yogic_sleep,0.28587374,0.7650201,0.67876244,0.31121892,0.8226781,0.5604702,0.30078802,0.8122389,0.7617653,0.42826328,0.83822286,0.54370564,0.4059282,0.8262296,0.72432053,0.510523,0.6933935,0.44954583,0.45553648,0.60327226,0.60567147,0.66628605,0.36963582,0.7503377,0.55247515,0.31248212,0.09133812,0.67189574,0.1839985,0.5792717,0.6140127,0.13943471,0.17091854,0.42639175,0.06901869,0.46104357,0.3804674,0.08295147,0.42388928,0.6854925,0.5585828,0.33849582,0.5154841,0.39490664,0.19131452,0.42421278,0.8179895,0.06097555,0.6515321,0.18701701,0.15854348
Yogic_sleep,0.27703488,0.35737377,0.4621603,0.20869574,0.3641463,0.5644589,0.26220986,0.28946227,0.6187895,0.14413099,0.40799385,0.73122406,0.2938728,0.22558476,0.56329966,0.25200725,0.56025636,0.69411397,0.40605718,0.19067079,0.42452407,0.46833354,0.5957476,0.24537778,0.6106468,0.4437182,0.1424582,0.4917606,0.37793878,0.16480799,0.57932013,0.5884735,0.29976872,0.6488363,0.6875175,0.069710895,0.7196564,0.47029072,0.13393709,0.6099544,0.49170515,0.0789925,0.6752547,0.18554501,0.22242984,0.6393168,0.56214535,0.07156173,0.68898135,0.4642144,0.07651053
